File accession	File format	Output type	Experiment accession	Assay	Biosample organism	Experiment target	Size	Assembly
ENCFF953PIE	bam	alignments	ENCSR745VSQ	ChIP-seq	Homo sapiens	GMEB2-human	1063126377	GRCh38
ENCFF221FIU	bam	alignments	ENCSR397DQC	ChIP-seq	Homo sapiens	KLF16-human	5665345904	GRCh38
ENCFF068LXE	bam	alignments	ENCSR707IUN	ChIP-seq	Homo sapiens	NFE2L2-human	884892331	GRCh38
ENCFF981GSU	bam	alignments	ENCSR000BLT	ChIP-seq	Homo sapiens	YY1-human	447846038	GRCh38
ENCFF793TUM	bam	alignments	ENCSR430JGJ	ChIP-seq	Homo sapiens	THRB-human	1527686828	GRCh38
ENCFF704RYY	bam	alignments	ENCSR000BLM	ChIP-seq	Homo sapiens	EP300-human	578111414	GRCh38
ENCFF616QUW	bam	alignments	ENCSR263DFP	ChIP-seq	Homo sapiens	PBX2-human	3666929390	GRCh38
ENCFF228XTL	bam	alignments	ENCSR586BRJ	ChIP-seq	Homo sapiens	ZNF433-human	3735130345	GRCh38
ENCFF980QHF	bam	alignments	ENCSR000EUM	ChIP-seq	Homo sapiens	YY1-human	305073054	GRCh38
ENCFF945TUI	bam	alignments	ENCSR552YGL	ChIP-seq	Homo sapiens	NFE2-human	2587784021	GRCh38
ENCFF013MXK	bam	alignments	ENCSR395HWC	ChIP-seq	Homo sapiens	IKZF1-human	2987344134	GRCh38
ENCFF775MUG	bam	alignments	ENCSR066EBK	ChIP-seq	Homo sapiens	FOXA2-human	5324936808	GRCh38
ENCFF499BAH	bam	alignments	ENCSR000BNT	ChIP-seq	Homo sapiens	YY1-human	551430997	GRCh38
ENCFF101IZI	bam	alignments	ENCSR503DPC	ChIP-seq	Homo sapiens	ZNF513-human	6664833714	GRCh38
ENCFF567OGN	bam	alignments	ENCSR966PJY	ChIP-seq	Homo sapiens	MIXL1-human	1439307615	GRCh38
ENCFF039IQB	bam	alignments	ENCSR124AIG	ChIP-seq	Homo sapiens	FOS-human	662813857	GRCh38
ENCFF260NKL	bam	alignments	ENCSR307PFP	ChIP-seq	Homo sapiens	CTCF-human	7682451959	GRCh38
ENCFF632WSK	bam	alignments	ENCSR876GXA	ChIP-seq	Homo sapiens	ZBTB33-human	3097794878	GRCh38
ENCFF018FQW	bam	alignments	ENCSR000BHD	ChIP-seq	Homo sapiens	PAX5-human	535815250	GRCh38
ENCFF686FEO	bam	alignments	ENCSR000AUQ	ChIP-seq	Homo sapiens	EP300-human	551459206	GRCh38
ENCFF115RLN	bam	alignments	ENCSR000EXG	ChIP-seq	Homo sapiens	YY1-human	262017388	GRCh38
ENCFF017YQM	bam	alignments	ENCSR134QIE	ChIP-seq	Homo sapiens	ZFP3-human	1879899733	GRCh38
ENCFF043GOQ	bam	alignments	ENCSR265WJC	ChIP-seq	Homo sapiens	KLF4-human	1108177633	GRCh38
ENCFF510TME	bam	alignments	ENCSR261EDU	ChIP-seq	Homo sapiens	MNT-human	4030349749	GRCh38
ENCFF982EYL	bam	alignments	ENCSR000ECK	ChIP-seq	Homo sapiens	MAFK-human	666216818	GRCh38
ENCFF602PRS	bam	alignments	ENCSR000BJR	ChIP-seq	Homo sapiens	NR3C1-human	364410770	GRCh38
ENCFF803TYM	bam	alignments	ENCSR390VGH	ChIP-seq	Homo sapiens	MNT-human	3236115782	GRCh38
ENCFF641HZR	bam	alignments	ENCSR000EGJ	ChIP-seq	Homo sapiens	MYC-human	626076397	GRCh38
ENCFF407QSA	bam	alignments	ENCSR757EKM	ChIP-seq	Homo sapiens	KLF6-human	1184353880	GRCh38
ENCFF808EIJ	bam	alignments	ENCSR422ZAO	ChIP-seq	Homo sapiens	IRF3-human	732508195	GRCh38
ENCFF699CPF	bam	alignments	ENCSR715UCI	ChIP-seq	Homo sapiens	SOX13-human	1519668787	GRCh38
ENCFF408DIJ	bam	alignments	ENCSR759BDG	ChIP-seq	Homo sapiens	BCL6-human	1959238495	GRCh38
ENCFF700PHB	bam	alignments	ENCSR711XNY	ChIP-seq	Homo sapiens	PKNOX1-human	4301687007	GRCh38
ENCFF819DOC	bam	alignments	ENCSR778QLY	ChIP-seq	Homo sapiens	ELF4-human	4698218567	GRCh38
ENCFF155JVO	bam	alignments	ENCSR158RYZ	ChIP-seq	Homo sapiens	ZBTB40-human	1076302557	GRCh38
ENCFF332IHG	bam	alignments	ENCSR228PGT	ChIP-seq	Homo sapiens	ZNF292-human	2814608018	GRCh38
ENCFF403QBQ	bam	alignments	ENCSR542FLV	ChIP-seq	Homo sapiens	ZBTB33-human	5264434471	GRCh38
ENCFF191UHV	bam	alignments	ENCSR000BNG	ChIP-seq	Homo sapiens	MEF2C-human	266709769	GRCh38
ENCFF219EYD	bam	alignments	ENCSR185FOY	ChIP-seq	Homo sapiens	ZNF341-human	3550432090	GRCh38
ENCFF672YBO	bam	alignments	ENCSR000DPV	ChIP-seq	Homo sapiens	CTCF-human	921763972	GRCh38
ENCFF518TBJ	bam	alignments	ENCSR344SBD	ChIP-seq	Homo sapiens	ZNF596-human	4263520052	GRCh38
ENCFF636PUW	bam	alignments	ENCSR000DRP	ChIP-seq	Homo sapiens	CTCF-human	423482031	GRCh38
ENCFF771NSF	bam	alignments	ENCSR000EWH	ChIP-seq	Homo sapiens	NR2C2-human	276186923	GRCh38
ENCFF201BQU	bam	alignments	ENCSR000EWJ	ChIP-seq	Homo sapiens	E2F6-human	165940979	GRCh38
ENCFF646HRE	bam	alignments	ENCSR000DLE	ChIP-seq	Homo sapiens	CTCF-human	154929909	GRCh38
ENCFF440RZX	bam	alignments	ENCSR000BIO	ChIP-seq	Homo sapiens	NR3C1-human	769502642	GRCh38
ENCFF269TPC	bam	alignments	ENCSR000BIT	ChIP-seq	Homo sapiens	TCF12-human	510657644	GRCh38
ENCFF626LRM	bam	alignments	ENCSR371LLY	ChIP-seq	Homo sapiens	ZNF37A-human	5364244067	GRCh38
ENCFF995IZW	bam	alignments	ENCSR336DXE	ChIP-seq	Homo sapiens	SKIL-human	4679392187	GRCh38
ENCFF478ATT	bam	alignments	ENCSR072LQF	ChIP-seq	Homo sapiens	ZNF76-human	3143037693	GRCh38
ENCFF727SXP	bam	alignments	ENCSR517DDU	ChIP-seq	Homo sapiens	ZNF48-human	5062018711	GRCh38
ENCFF392GZX	bam	alignments	ENCSR000EFT	ChIP-seq	Homo sapiens	GATA1-human	503955067	GRCh38
ENCFF482CMU	bam	alignments	ENCSR000EFO	ChIP-seq	Homo sapiens	CUX1-human	1209809373	GRCh38
ENCFF992YZZ	bam	alignments	ENCSR000ECD	ChIP-seq	Homo sapiens	USF2-human	900594018	GRCh38
ENCFF033WII	bam	alignments	ENCSR000DZN	ChIP-seq	Homo sapiens	CTCF-human	305311464	GRCh38
ENCFF842HOT	bam	alignments	ENCSR841YWU	ChIP-seq	Homo sapiens	E4F1-human	4223423636	GRCh38
ENCFF917WPY	bam	alignments	ENCSR347NOB	ChIP-seq	Homo sapiens	CEBPZ-human	614082774	GRCh38
ENCFF056EFI	bam	alignments	ENCSR430TEE	ChIP-seq	Homo sapiens	CTCF-human	2915783236	GRCh38
ENCFF433KBE	bam	alignments	ENCSR242BGR	ChIP-seq	Homo sapiens	ZNF770-human	3412450308	GRCh38
ENCFF774XPS	bam	alignments	ENCSR197DJH	ChIP-seq	Homo sapiens	SREBF1-human	4653236612	GRCh38
ENCFF853YQP	bam	alignments	ENCSR299ILN	ChIP-seq	Homo sapiens	CEBPB-human	645898555	GRCh38
ENCFF381YPW	bam	alignments	ENCSR897JCM	ChIP-seq	Homo sapiens	ZNF491-human	4442095368	GRCh38
ENCFF221DPL	bam	alignments	ENCSR484DDO	ChIP-seq	Homo sapiens	CTCF-human	2934061274	GRCh38
ENCFF266UHU	bam	alignments	ENCSR000DMH	ChIP-seq	Homo sapiens	CTCF-human	239210535	GRCh38
ENCFF289ROF	bam	alignments	ENCSR477OJI	ChIP-seq	Homo sapiens	ZNF423-human	3842928747	GRCh38
ENCFF614SHU	bam	alignments	ENCSR000BHJ	ChIP-seq	Homo sapiens	PAX5-human	477999391	GRCh38
ENCFF911WGI	bam	alignments	ENCSR000BKE	ChIP-seq	Homo sapiens	ATF3-human	562771764	GRCh38
ENCFF978NVP	bam	alignments	ENCSR731LHZ	ChIP-seq	Homo sapiens	E4F1-human	2956929565	GRCh38
ENCFF461GBT	bam	alignments	ENCSR197WGI	ChIP-seq	Homo sapiens	NFE2L2-human	776074913	GRCh38
ENCFF565OYH	bam	alignments	ENCSR948JXU	ChIP-seq	Homo sapiens	BCL3-human	569440352	GRCh38
ENCFF537KZX	bam	alignments	ENCSR000DVQ	ChIP-seq	Homo sapiens	CTCF-human	372900616	GRCh38
ENCFF677KNU	bam	alignments	ENCSR727HME	ChIP-seq	Homo sapiens	CTCF-human	3729337259	GRCh38
ENCFF063JBE	bam	alignments	ENCSR729LGA	ChIP-seq	Homo sapiens	SP1-human	4561353866	GRCh38
ENCFF913XHL	bam	alignments	ENCSR065WUF	ChIP-seq	Homo sapiens	KLF17-human	5482217307	GRCh38
ENCFF088RTW	bam	alignments	ENCSR712FAM	ChIP-seq	Homo sapiens	ZSCAN9-human	1300735578	GRCh38
ENCFF864ELR	bam	alignments	ENCSR617IFZ	ChIP-seq	Homo sapiens	CTCF-human	6571420145	GRCh38
ENCFF720ANK	bam	alignments	ENCSR334KIQ	ChIP-seq	Homo sapiens	SP1-human	4870226174	GRCh38
ENCFF927VOZ	bam	alignments	ENCSR372JXR	ChIP-seq	Homo sapiens	ZNF511-human	1255002795	GRCh38
ENCFF139IMF	bam	alignments	ENCSR009MBP	ChIP-seq	Homo sapiens	HSF1-human	717344229	GRCh38
ENCFF887VLI	bam	alignments	ENCSR000DPY	ChIP-seq	Homo sapiens	CTCF-human	292554722	GRCh38
ENCFF404VMP	bam	alignments	ENCSR504VDV	ChIP-seq	Homo sapiens	ZNF654-human	3095828913	GRCh38
ENCFF033YTZ	bam	alignments	ENCSR711UOA	ChIP-seq	Homo sapiens	ZNF837-human	5045706945	GRCh38
ENCFF759UXN	bam	alignments	ENCSR854IPI	ChIP-seq	Homo sapiens	ZNF707-human	4562020254	GRCh38
ENCFF375RFW	bam	alignments	ENCSR295BIP	ChIP-seq	Homo sapiens	ZNF777-human	6167043970	GRCh38
ENCFF721QYO	bam	alignments	ENCSR691TXI	ChIP-seq	Homo sapiens	ZNF610-human	4737663685	GRCh38
ENCFF670XGC	bam	alignments	ENCSR382WLL	ChIP-seq	Homo sapiens	ELK1-human	3536875158	GRCh38
ENCFF677UDU	bam	alignments	ENCSR000EHZ	ChIP-seq	Homo sapiens	NRF1-human	399104829	GRCh38
ENCFF980YNA	bam	alignments	ENCSR709DRM	ChIP-seq	Homo sapiens	E2F5-human	897427953	GRCh38
ENCFF787RXW	bam	alignments	ENCSR000EEH	ChIP-seq	Homo sapiens	NRF1-human	708386490	GRCh38
ENCFF125MJO	bam	alignments	ENCSR000BQO	ChIP-seq	Homo sapiens	FOSL2-human	911844798	GRCh38
ENCFF132SYW	bam	alignments	ENCSR135ANT	ChIP-seq	Homo sapiens	NRF1-human	3699964368	GRCh38
ENCFF625AJO	bam	alignments	ENCSR706BJO	ChIP-seq	Homo sapiens	ZBTB11-human	1121846726	GRCh38
ENCFF362OMG	bam	alignments	ENCSR189YMA	ChIP-seq	Homo sapiens	VEZF1-human	823614017	GRCh38
ENCFF986TQA	bam	alignments	ENCSR896UBV	ChIP-seq	Homo sapiens	REST-human	3908515273	GRCh38
ENCFF303ICH	bam	alignments	ENCSR200JYP	ChIP-seq	Homo sapiens	ZNF316-human	3261635285	GRCh38
ENCFF287PTX	bam	alignments	ENCSR523XCR	ChIP-seq	Homo sapiens	RNF2-human	2916891044	GRCh38
ENCFF012LYY	bam	alignments	ENCSR000EFZ	ChIP-seq	Homo sapiens	UBTF-human	380636347	GRCh38
ENCFF221XVM	bam	alignments	ENCSR740NPG	ChIP-seq	Homo sapiens	BACH1-human	1222236089	GRCh38
ENCFF540VVE	bam	alignments	ENCSR011PEI	ChIP-seq	Homo sapiens	ZNF175-human	635800967	GRCh38
ENCFF262QYO	bam	alignments	ENCSR096IIB	ChIP-seq	Homo sapiens	ETV5-human	1494605253	GRCh38
ENCFF811FBC	bam	alignments	ENCSR000DPM	ChIP-seq	Homo sapiens	CTCF-human	655468805	GRCh38
ENCFF612FTS	bam	alignments	ENCSR000DRZ	ChIP-seq	Homo sapiens	CTCF-human	183394902	GRCh38
ENCFF242MGC	bam	alignments	ENCSR019WUS	ChIP-seq	Homo sapiens	ZNF10-human	4675090553	GRCh38
ENCFF540ZTB	bam	alignments	ENCSR440VKE	ChIP-seq	Homo sapiens	ADNP-human	864322626	GRCh38
ENCFF056HVT	bam	alignments	ENCSR102KIN	ChIP-seq	Homo sapiens	ZMYM3-human	1018260336	GRCh38
ENCFF987KST	bam	alignments	ENCSR000DMP	ChIP-seq	Homo sapiens	MYC-human	1201924338	GRCh38
ENCFF045AXI	bam	alignments	ENCSR000BKO	ChIP-seq	Homo sapiens	SP1-human	546629054	GRCh38
ENCFF207EHB	bam	alignments	ENCSR000DYJ	ChIP-seq	Homo sapiens	BHLHE40-human	710010228	GRCh38
ENCFF313RGT	bam	alignments	ENCSR430YRJ	ChIP-seq	Homo sapiens	CTCF-human	559679591	GRCh38
ENCFF070MZX	bam	alignments	ENCSR017GBO	ChIP-seq	Homo sapiens	TFDP1-human	981111910	GRCh38
ENCFF168KTM	bam	alignments	ENCSR000EGK	ChIP-seq	Homo sapiens	IRF1-human	563390708	GRCh38
ENCFF693JVP	bam	alignments	ENCSR620VIC	ChIP-seq	Homo sapiens	CEBPG-human	1292681710	GRCh38
ENCFF602PSD	bam	alignments	ENCSR298ZPF	ChIP-seq	Homo sapiens	CTCF-human	1945534440	GRCh38
ENCFF757MNE	bam	alignments	ENCSR216GEB	ChIP-seq	Homo sapiens	CEBPB-human	553638384	GRCh38
ENCFF431XUQ	bam	alignments	ENCSR201GGK	ChIP-seq	Homo sapiens	NFIL3-human	1138828617	GRCh38
ENCFF036IOO	bam	alignments	ENCSR979QYJ	ChIP-seq	Homo sapiens	MNT-human	3260076884	GRCh38
ENCFF036LQK	bam	alignments	ENCSR451CYX	ChIP-seq	Homo sapiens	ZNF280D-human	5414743225	GRCh38
ENCFF839WER	bam	alignments	ENCSR785YRL	ChIP-seq	Homo sapiens	CTCF-human	1329978254	GRCh38
ENCFF610QSE	bam	alignments	ENCSR000AOA	ChIP-seq	Homo sapiens	CTCF-human	625236292	GRCh38
ENCFF331TRC	bam	alignments	ENCSR000BMD	ChIP-seq	Homo sapiens	ELF1-human	189715385	GRCh38
ENCFF817VBY	bam	alignments	ENCSR000EGQ	ChIP-seq	Homo sapiens	NFYB-human	158418640	GRCh38
ENCFF068GBU	bam	alignments	ENCSR582MTM	ChIP-seq	Homo sapiens	CTCF-human	2205653343	GRCh38
ENCFF553ZKD	bam	alignments	ENCSR681WHQ	ChIP-seq	Homo sapiens	ETS1-human	866730120	GRCh38
ENCFF188YIC	bam	alignments	ENCSR000DOS	ChIP-seq	Homo sapiens	MYC-human	421477106	GRCh38
ENCFF884MHV	bam	alignments	ENCSR489DIG	ChIP-seq	Homo sapiens	JUN-human	708722492	GRCh38
ENCFF414QUV	bam	alignments	ENCSR000AOO	ChIP-seq	Homo sapiens	CTCF-human	265686298	GRCh38
ENCFF877KKW	bam	alignments	ENCSR190VMK	ChIP-seq	Homo sapiens	CEBPB-human	749477639	GRCh38
ENCFF649OHT	bam	alignments	ENCSR000DLI	ChIP-seq	Homo sapiens	MYC-human	213057876	GRCh38
ENCFF917UQJ	bam	alignments	ENCSR000EWE	ChIP-seq	Homo sapiens	ZNF274-human	453141892	GRCh38
ENCFF894EID	bam	alignments	ENCSR000BQS	ChIP-seq	Homo sapiens	REST-human	473312374	GRCh38
ENCFF914XSR	bam	alignments	ENCSR714YZG	ChIP-seq	Homo sapiens	ETV4-human	1101700934	GRCh38
ENCFF505IMK	bam	alignments	ENCSR000DKP	ChIP-seq	Homo sapiens	CTCF-human	415909374	GRCh38
ENCFF882BOA	bam	alignments	ENCSR474CVP	ChIP-seq	Homo sapiens	TRIM28-human	3947151664	GRCh38
ENCFF011HOS	bam	alignments	ENCSR112ALD	ChIP-seq	Homo sapiens	CREB1-human	6971221190	GRCh38
ENCFF997DGT	bam	alignments	ENCSR194BBY	ChIP-seq	Homo sapiens	ZNF221-human	4285024514	GRCh38
ENCFF761LNM	bam	alignments	ENCSR619IUE	ChIP-seq	Homo sapiens	CTCF-human	791308528	GRCh38
ENCFF908MXL	bam	alignments	ENCSR707QWA	ChIP-seq	Homo sapiens	NR2F6-human	870323233	GRCh38
ENCFF823GCX	bam	alignments	ENCSR000BLI	ChIP-seq	Homo sapiens	E2F6-human	310697982	GRCh38
ENCFF749LRJ	bam	alignments	ENCSR760UVO	ChIP-seq	Homo sapiens	KLF16-human	1257666090	GRCh38
ENCFF299MHQ	bam	alignments	ENCSR793HZD	ChIP-seq	Homo sapiens	JUN-human	672120052	GRCh38
ENCFF782XEN	bam	alignments	ENCSR009TKN	ChIP-seq	Homo sapiens	RCOR1-human	926648813	GRCh38
ENCFF633CMO	bam	alignments	ENCSR000EWF	ChIP-seq	Homo sapiens	YY1-human	293165137	GRCh38
ENCFF774IBY	bam	alignments	ENCSR035OXA	ChIP-seq	Homo sapiens	CTCF-human	697663705	GRCh38
ENCFF491NLK	bam	alignments	ENCSR977HTH	ChIP-seq	Homo sapiens	ZNF18-human	3527847603	GRCh38
ENCFF703ZWI	bam	alignments	ENCSR972LYL	ChIP-seq	Homo sapiens	CTCF-human	3707748864	GRCh38
ENCFF809BGD	bam	alignments	ENCSR822PJT	ChIP-seq	Homo sapiens	CTCF-human	2983924444	GRCh38
ENCFF442WFR	bam	alignments	ENCSR449UFF	ChIP-seq	Homo sapiens	ZKSCAN1-human	3860159616	GRCh38
ENCFF145VRC	bam	alignments	ENCSR092OVN	ChIP-seq	Homo sapiens	FOXA3-human	1424580326	GRCh38
ENCFF739ELO	bam	alignments	ENCSR449SEF	ChIP-seq	Homo sapiens	CTCF-human	2243582235	GRCh38
ENCFF017BBF	bam	alignments	ENCSR000BQH	ChIP-seq	Homo sapiens	BCL3-human	908847027	GRCh38
ENCFF951IVR	bam	alignments	ENCSR439OCL	ChIP-seq	Homo sapiens	ZNF407-human	3573709764	GRCh38
ENCFF097UUE	bam	alignments	ENCSR357QJR	ChIP-seq	Homo sapiens	ZSCAN5A-human	4688893384	GRCh38
ENCFF413FIJ	bam	alignments	ENCSR242EWU	ChIP-seq	Homo sapiens	FOSL2-human	596861638	GRCh38
ENCFF861MLP	bam	alignments	ENCSR445PDR	ChIP-seq	Homo sapiens	GFI1B-human	4960844143	GRCh38
ENCFF888DOH	bam	alignments	ENCSR919CZU	ChIP-seq	Homo sapiens	EGR2-human	2062638700	GRCh38
ENCFF925IGQ	bam	alignments	ENCSR274WRI	ChIP-seq	Homo sapiens	FOSL2-human	646029292	GRCh38
ENCFF118MNA	bam	alignments	ENCSR690HWX	ChIP-seq	Homo sapiens	HES2-human	641021777	GRCh38
ENCFF414AQN	bam	alignments	ENCSR289NSN	ChIP-seq	Homo sapiens	ZNF354C-human	3799688743	GRCh38
ENCFF187CYO	bam	alignments	ENCSR418NZA	ChIP-seq	Homo sapiens	ZNF524-human	3961579676	GRCh38
ENCFF151NRC	bam	alignments	ENCSR638QYO	ChIP-seq	Homo sapiens	SREBF2-human	4863011266	GRCh38
ENCFF340NFD	bam	alignments	ENCSR019NPF	ChIP-seq	Homo sapiens	SP5-human	1079290340	GRCh38
ENCFF895OOM	bam	alignments	ENCSR269TNX	ChIP-seq	Homo sapiens	GABPA-human	787068594	GRCh38
ENCFF618YRD	bam	alignments	ENCSR592KSP	ChIP-seq	Homo sapiens	ZFP64-human	3920442544	GRCh38
ENCFF070DUF	bam	alignments	ENCSR548DDS	ChIP-seq	Homo sapiens	CTCF-human	3890383056	GRCh38
ENCFF494QGK	bam	alignments	ENCSR332EYT	ChIP-seq	Homo sapiens	STAT1-human	4211711908	GRCh38
ENCFF151ZPA	bam	alignments	ENCSR000DPB	ChIP-seq	Homo sapiens	STAT3-human	404783912	GRCh38
ENCFF753MGD	bam	alignments	ENCSR173CTF	ChIP-seq	Homo sapiens	ZNF580-human	966382220	GRCh38
ENCFF126ZGI	bam	alignments	ENCSR098YLE	ChIP-seq	Homo sapiens	PRDM1-human	6062743710	GRCh38
ENCFF737QWX	bam	alignments	ENCSR211PZO	ChIP-seq	Homo sapiens	GLI4-human	5154502247	GRCh38
ENCFF633OXE	bam	alignments	ENCSR000DXW	ChIP-seq	Homo sapiens	CTCF-human	463125741	GRCh38
ENCFF018QYS	bam	alignments	ENCSR000DND	ChIP-seq	Homo sapiens	CTCF-human	223324160	GRCh38
ENCFF707MEF	bam	alignments	ENCSR125DAD	ChIP-seq	Homo sapiens	MLX-human	1660287107	GRCh38
ENCFF687QLR	bam	alignments	ENCSR580IAO	ChIP-seq	Homo sapiens	ZNF197-human	613900307	GRCh38
ENCFF184EQF	bam	alignments	ENCSR897JAS	ChIP-seq	Homo sapiens	CREB1-human	4558041911	GRCh38
ENCFF065YOX	bam	alignments	ENCSR000DZC	ChIP-seq	Homo sapiens	RCOR1-human	604975859	GRCh38
ENCFF151GOI	bam	alignments	ENCSR000EGD	ChIP-seq	Homo sapiens	BACH1-human	591346572	GRCh38
ENCFF950PAH	bam	alignments	ENCSR596IKD	ChIP-seq	Homo sapiens	ETS2-human	4064900050	GRCh38
ENCFF634DLN	bam	alignments	ENCSR911KBJ	ChIP-seq	Homo sapiens	HES2-human	543260363	GRCh38
ENCFF172UCO	bam	alignments	ENCSR506HXN	ChIP-seq	Homo sapiens	TRIM22-human	5127202841	GRCh38
ENCFF139LRZ	bam	alignments	ENCSR686BQM	ChIP-seq	Homo sapiens	EP300-human	461492311	GRCh38
ENCFF550UME	bam	alignments	ENCSR639KFO	ChIP-seq	Homo sapiens	BCL3-human	709628273	GRCh38
ENCFF548TKC	bam	alignments	ENCSR000EDD	ChIP-seq	Homo sapiens	TBP-human	534390329	GRCh38
ENCFF908YKV	bam	alignments	ENCSR000DRU	ChIP-seq	Homo sapiens	CTCF-human	459543879	GRCh38
ENCFF267EEY	bam	alignments	ENCSR167KBO	ChIP-seq	Homo sapiens	ZNF316-human	6284754107	GRCh38
ENCFF577HXX	bam	alignments	ENCSR038XIA	ChIP-seq	Homo sapiens	ZNF444-human	3327766359	GRCh38
ENCFF121EED	bam	alignments	ENCSR000BRC	ChIP-seq	Homo sapiens	CREB1-human	526039184	GRCh38
ENCFF057AUM	bam	alignments	ENCSR064LJN	ChIP-seq	Homo sapiens	RFX5-human	3986471704	GRCh38
ENCFF098QVB	bam	alignments	ENCSR473CRE	ChIP-seq	Homo sapiens	BCL3-human	593412095	GRCh38
ENCFF523HQR	bam	alignments	ENCSR444LIN	ChIP-seq	Homo sapiens	TCF7-human	973036120	GRCh38
ENCFF670KRA	bam	alignments	ENCSR288EPV	ChIP-seq	Homo sapiens	BCL3-human	685810876	GRCh38
ENCFF364SJK	bam	alignments	ENCSR819LHG	ChIP-seq	Homo sapiens	FOXA1-human	4411681149	GRCh38
ENCFF060DJH	bam	alignments	ENCSR000ECC	ChIP-seq	Homo sapiens	NRF1-human	727770575	GRCh38
ENCFF179ZBY	bam	alignments	ENCSR000BQZ	ChIP-seq	Homo sapiens	STAT5A-human	1091053782	GRCh38
ENCFF240BDN	bam	alignments	ENCSR497VFH	ChIP-seq	Homo sapiens	ZNF639-human	3902913952	GRCh38
ENCFF180DGV	bam	alignments	ENCSR784VUY	ChIP-seq	Homo sapiens	RNF2-human	431439741	GRCh38
ENCFF231PHQ	bam	alignments	ENCSR799WDT	ChIP-seq	Homo sapiens	CTCF-human	3928479674	GRCh38
ENCFF599CGM	bam	alignments	ENCSR469POZ	ChIP-seq	Homo sapiens	CTCF-human	3580073893	GRCh38
ENCFF196CKN	bam	alignments	ENCSR911GFJ	ChIP-seq	Homo sapiens	CTCF-human	3238218842	GRCh38
ENCFF619YHC	bam	alignments	ENCSR155VDK	ChIP-seq	Homo sapiens	ZBTB11-human	758680069	GRCh38
ENCFF400MMA	bam	alignments	ENCSR290MUH	ChIP-seq	Homo sapiens	GABPA-human	999006246	GRCh38
ENCFF603DLZ	bam	alignments	ENCSR505NMN	ChIP-seq	Homo sapiens	E2F4-human	608591915	GRCh38
ENCFF028WLP	bam	alignments	ENCSR000EDT	ChIP-seq	Homo sapiens	BHLHE40-human	825966780	GRCh38
ENCFF071KOM	bam	alignments	ENCSR882ERE	ChIP-seq	Homo sapiens	ZKSCAN1-human	683721458	GRCh38
ENCFF838LUM	bam	alignments	ENCSR593DGU	ChIP-seq	Homo sapiens	FOSL2-human	689679805	GRCh38
ENCFF357MHM	bam	alignments	ENCSR000EZV	ChIP-seq	Homo sapiens	MYC-human	269463976	GRCh38
ENCFF532LHG	bam	alignments	ENCSR159GFL	ChIP-seq	Homo sapiens	ZNF518A-human	3196186015	GRCh38
ENCFF648LXV	bam	alignments	ENCSR546IHU	ChIP-seq	Homo sapiens	ZNF184-human	4893622585	GRCh38
ENCFF810AAT	bam	alignments	ENCSR993LMB	ChIP-seq	Homo sapiens	TGIF2-human	1349864211	GRCh38
ENCFF273SBT	bam	alignments	ENCSR518WPL	ChIP-seq	Homo sapiens	NR2F6-human	1090637105	GRCh38
ENCFF444ZUH	bam	alignments	ENCSR000EVX	ChIP-seq	Homo sapiens	ZNF274-human	565142937	GRCh38
ENCFF241VRG	bam	alignments	ENCSR229DYF	ChIP-seq	Homo sapiens	ZBTB26-human	5680499686	GRCh38
ENCFF719OIE	bam	alignments	ENCSR000EGX	ChIP-seq	Homo sapiens	MAFK-human	1399685901	GRCh38
ENCFF891GFG	bam	alignments	ENCSR000EWN	ChIP-seq	Homo sapiens	ZNF263-human	151136506	GRCh38
ENCFF419COX	bam	alignments	ENCSR000EGY	ChIP-seq	Homo sapiens	EP300-human	11313776	GRCh38
ENCFF346XVM	bam	alignments	ENCSR000BIR	ChIP-seq	Homo sapiens	SP1-human	630793208	GRCh38
ENCFF990PBT	bam	alignments	ENCSR752NDX	ChIP-seq	Homo sapiens	ZNF282-human	6325934074	GRCh38
ENCFF072SKI	bam	alignments	ENCSR633EIC	ChIP-seq	Homo sapiens	PBX2-human	708343934	GRCh38
ENCFF714MNN	bam	alignments	ENCSR421QXA	ChIP-seq	Homo sapiens	ZNF571-human	4781645296	GRCh38
ENCFF264CUG	bam	alignments	ENCSR000BQQ	ChIP-seq	Homo sapiens	TCF12-human	830194280	GRCh38
ENCFF653BQI	bam	alignments	ENCSR000BQP	ChIP-seq	Homo sapiens	REST-human	933551952	GRCh38
ENCFF990TOU	bam	alignments	ENCSR761RDU	ChIP-seq	Homo sapiens	JUN-human	780120203	GRCh38
ENCFF403PJI	bam	alignments	ENCSR014GSQ	ChIP-seq	Homo sapiens	CTCF-human	3663834907	GRCh38
ENCFF913AGP	bam	alignments	ENCSR130VQL	ChIP-seq	Homo sapiens	PPARG-human	1759548215	GRCh38
ENCFF648TLU	bam	alignments	ENCSR876UZD	ChIP-seq	Homo sapiens	CTCF-human	684781832	GRCh38
ENCFF871GXE	bam	alignments	ENCSR000AKO	ChIP-seq	Homo sapiens	CTCF-human	361167135	GRCh38
ENCFF384WCY	bam	alignments	ENCSR907JPB	ChIP-seq	Homo sapiens	ZMIZ1-human	782324033	GRCh38
ENCFF147KAY	bam	alignments	ENCSR000EXR	ChIP-seq	Homo sapiens	GATA1-human	723499008	GRCh38
ENCFF527UXJ	bam	alignments	ENCSR336VBV	ChIP-seq	Homo sapiens	CTCF-human	713090602	GRCh38
