File accession	File format	Output type	Experiment accession	Assay	Biosample organism	Experiment target	Size	Assembly
ENCFF917WPY	bam	alignments	ENCSR347NOB	ChIP-seq	Homo sapiens	CEBPZ-human	614082774	GRCh38
ENCFF923TDM	bam	alignments	ENCSR347NOB	ChIP-seq	Homo sapiens	CEBPZ-human	1133337509	GRCh38
ENCFF056EFI	bam	alignments	ENCSR430TEE	ChIP-seq	Homo sapiens	CTCF-human	2915783236	GRCh38
ENCFF433KBE	bam	alignments	ENCSR242BGR	ChIP-seq	Homo sapiens	ZNF770-human	3412450308	GRCh38
ENCFF718QAG	bam	alignments	ENCSR242BGR	ChIP-seq	Homo sapiens	ZNF770-human	7964768619	GRCh38
ENCFF774XPS	bam	alignments	ENCSR197DJH	ChIP-seq	Homo sapiens	SREBF1-human	4653236612	GRCh38
ENCFF008QCI	bam	alignments	ENCSR197DJH	ChIP-seq	Homo sapiens	SREBF1-human	6873715170	GRCh38
ENCFF853YQP	bam	alignments	ENCSR299ILN	ChIP-seq	Homo sapiens	CEBPB-human	645898555	GRCh38
ENCFF649ILS	bam	alignments	ENCSR299ILN	ChIP-seq	Homo sapiens	CEBPB-human	610245937	GRCh38
ENCFF060FCQ	bam	alignments	ENCSR299ILN	ChIP-seq	Homo sapiens	CEBPB-human	512704651	GRCh38
ENCFF381YPW	bam	alignments	ENCSR897JCM	ChIP-seq	Homo sapiens	ZNF491-human	4442095368	GRCh38
ENCFF929VDB	bam	alignments	ENCSR897JCM	ChIP-seq	Homo sapiens	ZNF491-human	4395082919	GRCh38
ENCFF221DPL	bam	alignments	ENCSR484DDO	ChIP-seq	Homo sapiens	CTCF-human	2934061274	GRCh38
ENCFF266UHU	bam	alignments	ENCSR000DMH	ChIP-seq	Homo sapiens	CTCF-human	239210535	GRCh38
ENCFF111YZR	bam	alignments	ENCSR000DMH	ChIP-seq	Homo sapiens	CTCF-human	170854908	GRCh38
ENCFF289ROF	bam	alignments	ENCSR477OJI	ChIP-seq	Homo sapiens	ZNF423-human	3842928747	GRCh38
ENCFF632DBT	bam	alignments	ENCSR477OJI	ChIP-seq	Homo sapiens	ZNF423-human	4817694604	GRCh38
ENCFF614SHU	bam	alignments	ENCSR000BHJ	ChIP-seq	Homo sapiens	PAX5-human	477999391	GRCh38
ENCFF475VQL	bam	alignments	ENCSR000BHJ	ChIP-seq	Homo sapiens	PAX5-human	935790985	GRCh38
ENCFF911WGI	bam	alignments	ENCSR000BKE	ChIP-seq	Homo sapiens	ATF3-human	562771764	GRCh38
ENCFF357WAY	bam	alignments	ENCSR000BKE	ChIP-seq	Homo sapiens	ATF3-human	768642692	GRCh38
ENCFF978NVP	bam	alignments	ENCSR731LHZ	ChIP-seq	Homo sapiens	E4F1-human	2956929565	GRCh38
ENCFF606IOS	bam	alignments	ENCSR731LHZ	ChIP-seq	Homo sapiens	E4F1-human	3716858972	GRCh38
ENCFF461GBT	bam	alignments	ENCSR197WGI	ChIP-seq	Homo sapiens	NFE2L2-human	776074913	GRCh38
ENCFF467POD	bam	alignments	ENCSR197WGI	ChIP-seq	Homo sapiens	NFE2L2-human	521718271	GRCh38
ENCFF565OYH	bam	alignments	ENCSR948JXU	ChIP-seq	Homo sapiens	BCL3-human	569440352	GRCh38
ENCFF470BPC	bam	alignments	ENCSR948JXU	ChIP-seq	Homo sapiens	BCL3-human	635286968	GRCh38
ENCFF588IJM	bam	alignments	ENCSR948JXU	ChIP-seq	Homo sapiens	BCL3-human	475186346	GRCh38
ENCFF537KZX	bam	alignments	ENCSR000DVQ	ChIP-seq	Homo sapiens	CTCF-human	372900616	GRCh38
ENCFF150BQN	bam	alignments	ENCSR000DVQ	ChIP-seq	Homo sapiens	CTCF-human	504867080	GRCh38
ENCFF677KNU	bam	alignments	ENCSR727HME	ChIP-seq	Homo sapiens	CTCF-human	3729337259	GRCh38
ENCFF063JBE	bam	alignments	ENCSR729LGA	ChIP-seq	Homo sapiens	SP1-human	4561353866	GRCh38
ENCFF924HNJ	bam	alignments	ENCSR729LGA	ChIP-seq	Homo sapiens	SP1-human	4206456919	GRCh38
ENCFF913XHL	bam	alignments	ENCSR065WUF	ChIP-seq	Homo sapiens	KLF17-human	5482217307	GRCh38
ENCFF519SQU	bam	alignments	ENCSR065WUF	ChIP-seq	Homo sapiens	KLF17-human	4973242410	GRCh38
ENCFF088RTW	bam	alignments	ENCSR712FAM	ChIP-seq	Homo sapiens	ZSCAN9-human	1300735578	GRCh38
ENCFF894JTR	bam	alignments	ENCSR712FAM	ChIP-seq	Homo sapiens	ZSCAN9-human	1741304919	GRCh38
ENCFF864ELR	bam	alignments	ENCSR617IFZ	ChIP-seq	Homo sapiens	CTCF-human	6571420145	GRCh38
ENCFF354GWS	bam	alignments	ENCSR617IFZ	ChIP-seq	Homo sapiens	CTCF-human	6809404961	GRCh38
ENCFF720ANK	bam	alignments	ENCSR334KIQ	ChIP-seq	Homo sapiens	SP1-human	4870226174	GRCh38
ENCFF875FET	bam	alignments	ENCSR334KIQ	ChIP-seq	Homo sapiens	SP1-human	5392080530	GRCh38
ENCFF927VOZ	bam	alignments	ENCSR372JXR	ChIP-seq	Homo sapiens	ZNF511-human	1255002795	GRCh38
ENCFF736DHC	bam	alignments	ENCSR372JXR	ChIP-seq	Homo sapiens	ZNF511-human	2020247244	GRCh38
ENCFF139IMF	bam	alignments	ENCSR009MBP	ChIP-seq	Homo sapiens	HSF1-human	717344229	GRCh38
ENCFF778CYP	bam	alignments	ENCSR009MBP	ChIP-seq	Homo sapiens	HSF1-human	804594746	GRCh38
ENCFF887VLI	bam	alignments	ENCSR000DPY	ChIP-seq	Homo sapiens	CTCF-human	292554722	GRCh38
ENCFF971QGY	bam	alignments	ENCSR000DPY	ChIP-seq	Homo sapiens	CTCF-human	1038867562	GRCh38
ENCFF404VMP	bam	alignments	ENCSR504VDV	ChIP-seq	Homo sapiens	ZNF654-human	3095828913	GRCh38
ENCFF221VRH	bam	alignments	ENCSR504VDV	ChIP-seq	Homo sapiens	ZNF654-human	3443308139	GRCh38
ENCFF033YTZ	bam	alignments	ENCSR711UOA	ChIP-seq	Homo sapiens	ZNF837-human	5045706945	GRCh38
ENCFF331WMN	bam	alignments	ENCSR711UOA	ChIP-seq	Homo sapiens	ZNF837-human	6074799754	GRCh38
ENCFF759UXN	bam	alignments	ENCSR854IPI	ChIP-seq	Homo sapiens	ZNF707-human	4562020254	GRCh38
ENCFF661VJW	bam	alignments	ENCSR854IPI	ChIP-seq	Homo sapiens	ZNF707-human	4049924478	GRCh38
ENCFF375RFW	bam	alignments	ENCSR295BIP	ChIP-seq	Homo sapiens	ZNF777-human	6167043970	GRCh38
ENCFF706RWY	bam	alignments	ENCSR295BIP	ChIP-seq	Homo sapiens	ZNF777-human	7139336063	GRCh38
ENCFF721QYO	bam	alignments	ENCSR691TXI	ChIP-seq	Homo sapiens	ZNF610-human	4737663685	GRCh38
ENCFF522UYX	bam	alignments	ENCSR691TXI	ChIP-seq	Homo sapiens	ZNF610-human	6158427302	GRCh38
ENCFF670XGC	bam	alignments	ENCSR382WLL	ChIP-seq	Homo sapiens	ELK1-human	3536875158	GRCh38
ENCFF481DGS	bam	alignments	ENCSR382WLL	ChIP-seq	Homo sapiens	ELK1-human	4020770417	GRCh38
ENCFF677UDU	bam	alignments	ENCSR000EHZ	ChIP-seq	Homo sapiens	NRF1-human	399104829	GRCh38
ENCFF854WDA	bam	alignments	ENCSR000EHZ	ChIP-seq	Homo sapiens	NRF1-human	764766512	GRCh38
ENCFF980YNA	bam	alignments	ENCSR709DRM	ChIP-seq	Homo sapiens	E2F5-human	897427953	GRCh38
ENCFF564FBJ	bam	alignments	ENCSR709DRM	ChIP-seq	Homo sapiens	E2F5-human	1107993140	GRCh38
ENCFF787RXW	bam	alignments	ENCSR000EEH	ChIP-seq	Homo sapiens	NRF1-human	708386490	GRCh38
ENCFF101XWQ	bam	alignments	ENCSR000EEH	ChIP-seq	Homo sapiens	NRF1-human	721054374	GRCh38
ENCFF125MJO	bam	alignments	ENCSR000BQO	ChIP-seq	Homo sapiens	FOSL2-human	911844798	GRCh38
ENCFF585INN	bam	alignments	ENCSR000BQO	ChIP-seq	Homo sapiens	FOSL2-human	1136848851	GRCh38
ENCFF132SYW	bam	alignments	ENCSR135ANT	ChIP-seq	Homo sapiens	NRF1-human	3699964368	GRCh38
ENCFF767EZN	bam	alignments	ENCSR135ANT	ChIP-seq	Homo sapiens	NRF1-human	5403186059	GRCh38
ENCFF625AJO	bam	alignments	ENCSR706BJO	ChIP-seq	Homo sapiens	ZBTB11-human	1121846726	GRCh38
ENCFF212PQL	bam	alignments	ENCSR706BJO	ChIP-seq	Homo sapiens	ZBTB11-human	1136641271	GRCh38
ENCFF362OMG	bam	alignments	ENCSR189YMA	ChIP-seq	Homo sapiens	VEZF1-human	823614017	GRCh38
ENCFF295BFN	bam	alignments	ENCSR189YMA	ChIP-seq	Homo sapiens	VEZF1-human	566981592	GRCh38
ENCFF698KWQ	bam	alignments	ENCSR189YMA	ChIP-seq	Homo sapiens	VEZF1-human	1417526938	GRCh38
ENCFF046PED	bam	alignments	ENCSR189YMA	ChIP-seq	Homo sapiens	VEZF1-human	1370045759	GRCh38
ENCFF986TQA	bam	alignments	ENCSR896UBV	ChIP-seq	Homo sapiens	REST-human	3908515273	GRCh38
ENCFF306VSK	bam	alignments	ENCSR896UBV	ChIP-seq	Homo sapiens	REST-human	5368827052	GRCh38
ENCFF303ICH	bam	alignments	ENCSR200JYP	ChIP-seq	Homo sapiens	ZNF316-human	3261635285	GRCh38
ENCFF041ZVD	bam	alignments	ENCSR200JYP	ChIP-seq	Homo sapiens	ZNF316-human	5821059847	GRCh38
ENCFF287PTX	bam	alignments	ENCSR523XCR	ChIP-seq	Homo sapiens	RNF2-human	2916891044	GRCh38
ENCFF447ZWG	bam	alignments	ENCSR523XCR	ChIP-seq	Homo sapiens	RNF2-human	5476627584	GRCh38
ENCFF012LYY	bam	alignments	ENCSR000EFZ	ChIP-seq	Homo sapiens	UBTF-human	380636347	GRCh38
ENCFF314KHY	bam	alignments	ENCSR000EFZ	ChIP-seq	Homo sapiens	UBTF-human	476394945	GRCh38
ENCFF221XVM	bam	alignments	ENCSR740NPG	ChIP-seq	Homo sapiens	BACH1-human	1222236089	GRCh38
ENCFF042SJF	bam	alignments	ENCSR740NPG	ChIP-seq	Homo sapiens	BACH1-human	1347079217	GRCh38
ENCFF540VVE	bam	alignments	ENCSR011PEI	ChIP-seq	Homo sapiens	ZNF175-human	635800967	GRCh38
ENCFF503IYW	bam	alignments	ENCSR011PEI	ChIP-seq	Homo sapiens	ZNF175-human	898475923	GRCh38
ENCFF262QYO	bam	alignments	ENCSR096IIB	ChIP-seq	Homo sapiens	ETV5-human	1494605253	GRCh38
ENCFF833GRI	bam	alignments	ENCSR096IIB	ChIP-seq	Homo sapiens	ETV5-human	1787724773	GRCh38
ENCFF811FBC	bam	alignments	ENCSR000DPM	ChIP-seq	Homo sapiens	CTCF-human	655468805	GRCh38
ENCFF402WKZ	bam	alignments	ENCSR000DPM	ChIP-seq	Homo sapiens	CTCF-human	727396961	GRCh38
ENCFF612FTS	bam	alignments	ENCSR000DRZ	ChIP-seq	Homo sapiens	CTCF-human	183394902	GRCh38
ENCFF614VZE	bam	alignments	ENCSR000DRZ	ChIP-seq	Homo sapiens	CTCF-human	631888121	GRCh38
ENCFF242MGC	bam	alignments	ENCSR019WUS	ChIP-seq	Homo sapiens	ZNF10-human	4675090553	GRCh38
ENCFF599QHU	bam	alignments	ENCSR019WUS	ChIP-seq	Homo sapiens	ZNF10-human	6971307495	GRCh38
ENCFF540ZTB	bam	alignments	ENCSR440VKE	ChIP-seq	Homo sapiens	ADNP-human	864322626	GRCh38
ENCFF666EIZ	bam	alignments	ENCSR440VKE	ChIP-seq	Homo sapiens	ADNP-human	1138158002	GRCh38
ENCFF056HVT	bam	alignments	ENCSR102KIN	ChIP-seq	Homo sapiens	ZMYM3-human	1018260336	GRCh38
ENCFF900QPQ	bam	alignments	ENCSR102KIN	ChIP-seq	Homo sapiens	ZMYM3-human	985787658	GRCh38
ENCFF987KST	bam	alignments	ENCSR000DMP	ChIP-seq	Homo sapiens	MYC-human	1201924338	GRCh38
ENCFF870YIK	bam	alignments	ENCSR000DMP	ChIP-seq	Homo sapiens	MYC-human	1380787870	GRCh38
ENCFF045AXI	bam	alignments	ENCSR000BKO	ChIP-seq	Homo sapiens	SP1-human	546629054	GRCh38
ENCFF595HJO	bam	alignments	ENCSR000BKO	ChIP-seq	Homo sapiens	SP1-human	602438714	GRCh38
ENCFF207EHB	bam	alignments	ENCSR000DYJ	ChIP-seq	Homo sapiens	BHLHE40-human	710010228	GRCh38
ENCFF848YES	bam	alignments	ENCSR000DYJ	ChIP-seq	Homo sapiens	BHLHE40-human	835989290	GRCh38
ENCFF313RGT	bam	alignments	ENCSR430YRJ	ChIP-seq	Homo sapiens	CTCF-human	559679591	GRCh38
ENCFF681AFR	bam	alignments	ENCSR430YRJ	ChIP-seq	Homo sapiens	CTCF-human	714909734	GRCh38
ENCFF070MZX	bam	alignments	ENCSR017GBO	ChIP-seq	Homo sapiens	TFDP1-human	981111910	GRCh38
ENCFF795XBH	bam	alignments	ENCSR017GBO	ChIP-seq	Homo sapiens	TFDP1-human	1811969789	GRCh38
ENCFF168KTM	bam	alignments	ENCSR000EGK	ChIP-seq	Homo sapiens	IRF1-human	563390708	GRCh38
ENCFF299HHL	bam	alignments	ENCSR000EGK	ChIP-seq	Homo sapiens	IRF1-human	723534974	GRCh38
ENCFF693JVP	bam	alignments	ENCSR620VIC	ChIP-seq	Homo sapiens	CEBPG-human	1292681710	GRCh38
ENCFF620VNP	bam	alignments	ENCSR620VIC	ChIP-seq	Homo sapiens	CEBPG-human	1577752157	GRCh38
ENCFF602PSD	bam	alignments	ENCSR298ZPF	ChIP-seq	Homo sapiens	CTCF-human	1945534440	GRCh38
ENCFF757MNE	bam	alignments	ENCSR216GEB	ChIP-seq	Homo sapiens	CEBPB-human	553638384	GRCh38
ENCFF311IDK	bam	alignments	ENCSR216GEB	ChIP-seq	Homo sapiens	CEBPB-human	698321390	GRCh38
ENCFF431XUQ	bam	alignments	ENCSR201GGK	ChIP-seq	Homo sapiens	NFIL3-human	1138828617	GRCh38
ENCFF847EMM	bam	alignments	ENCSR201GGK	ChIP-seq	Homo sapiens	NFIL3-human	1124266267	GRCh38
ENCFF036IOO	bam	alignments	ENCSR979QYJ	ChIP-seq	Homo sapiens	MNT-human	3260076884	GRCh38
ENCFF358HOW	bam	alignments	ENCSR979QYJ	ChIP-seq	Homo sapiens	MNT-human	4045351895	GRCh38
ENCFF036LQK	bam	alignments	ENCSR451CYX	ChIP-seq	Homo sapiens	ZNF280D-human	5414743225	GRCh38
ENCFF252BCB	bam	alignments	ENCSR451CYX	ChIP-seq	Homo sapiens	ZNF280D-human	5205021423	GRCh38
ENCFF839WER	bam	alignments	ENCSR785YRL	ChIP-seq	Homo sapiens	CTCF-human	1329978254	GRCh38
ENCFF522LXS	bam	alignments	ENCSR785YRL	ChIP-seq	Homo sapiens	CTCF-human	1195441396	GRCh38
ENCFF610QSE	bam	alignments	ENCSR000AOA	ChIP-seq	Homo sapiens	CTCF-human	625236292	GRCh38
ENCFF144LJX	bam	alignments	ENCSR000AOA	ChIP-seq	Homo sapiens	CTCF-human	782324882	GRCh38
ENCFF331TRC	bam	alignments	ENCSR000BMD	ChIP-seq	Homo sapiens	ELF1-human	189715385	GRCh38
ENCFF535PLW	bam	alignments	ENCSR000BMD	ChIP-seq	Homo sapiens	ELF1-human	767172471	GRCh38
ENCFF817VBY	bam	alignments	ENCSR000EGQ	ChIP-seq	Homo sapiens	NFYB-human	158418640	GRCh38
ENCFF267XWV	bam	alignments	ENCSR000EGQ	ChIP-seq	Homo sapiens	NFYB-human	146873192	GRCh38
ENCFF068GBU	bam	alignments	ENCSR582MTM	ChIP-seq	Homo sapiens	CTCF-human	2205653343	GRCh38
ENCFF553ZKD	bam	alignments	ENCSR681WHQ	ChIP-seq	Homo sapiens	ETS1-human	866730120	GRCh38
ENCFF350GBI	bam	alignments	ENCSR681WHQ	ChIP-seq	Homo sapiens	ETS1-human	969824559	GRCh38
ENCFF188YIC	bam	alignments	ENCSR000DOS	ChIP-seq	Homo sapiens	MYC-human	421477106	GRCh38
ENCFF010YAL	bam	alignments	ENCSR000DOS	ChIP-seq	Homo sapiens	MYC-human	629192359	GRCh38
ENCFF884MHV	bam	alignments	ENCSR489DIG	ChIP-seq	Homo sapiens	JUN-human	708722492	GRCh38
ENCFF862NYT	bam	alignments	ENCSR489DIG	ChIP-seq	Homo sapiens	JUN-human	769529762	GRCh38
ENCFF061DZW	bam	alignments	ENCSR489DIG	ChIP-seq	Homo sapiens	JUN-human	693699462	GRCh38
ENCFF414QUV	bam	alignments	ENCSR000AOO	ChIP-seq	Homo sapiens	CTCF-human	265686298	GRCh38
ENCFF616NWB	bam	alignments	ENCSR000AOO	ChIP-seq	Homo sapiens	CTCF-human	452314464	GRCh38
ENCFF877KKW	bam	alignments	ENCSR190VMK	ChIP-seq	Homo sapiens	CEBPB-human	749477639	GRCh38
ENCFF887WWV	bam	alignments	ENCSR190VMK	ChIP-seq	Homo sapiens	CEBPB-human	632427128	GRCh38
ENCFF192KQH	bam	alignments	ENCSR190VMK	ChIP-seq	Homo sapiens	CEBPB-human	699179688	GRCh38
ENCFF649OHT	bam	alignments	ENCSR000DLI	ChIP-seq	Homo sapiens	MYC-human	213057876	GRCh38
ENCFF917UQJ	bam	alignments	ENCSR000EWE	ChIP-seq	Homo sapiens	ZNF274-human	453141892	GRCh38
ENCFF419SAY	bam	alignments	ENCSR000EWE	ChIP-seq	Homo sapiens	ZNF274-human	330875443	GRCh38
ENCFF894EID	bam	alignments	ENCSR000BQS	ChIP-seq	Homo sapiens	REST-human	473312374	GRCh38
ENCFF569QEN	bam	alignments	ENCSR000BQS	ChIP-seq	Homo sapiens	REST-human	521791845	GRCh38
ENCFF914XSR	bam	alignments	ENCSR714YZG	ChIP-seq	Homo sapiens	ETV4-human	1101700934	GRCh38
ENCFF970XFN	bam	alignments	ENCSR714YZG	ChIP-seq	Homo sapiens	ETV4-human	936723023	GRCh38
ENCFF505IMK	bam	alignments	ENCSR000DKP	ChIP-seq	Homo sapiens	CTCF-human	415909374	GRCh38
ENCFF107SFO	bam	alignments	ENCSR000DKP	ChIP-seq	Homo sapiens	CTCF-human	737241895	GRCh38
ENCFF882BOA	bam	alignments	ENCSR474CVP	ChIP-seq	Homo sapiens	TRIM28-human	3947151664	GRCh38
ENCFF393YFX	bam	alignments	ENCSR474CVP	ChIP-seq	Homo sapiens	TRIM28-human	3886043108	GRCh38
ENCFF011HOS	bam	alignments	ENCSR112ALD	ChIP-seq	Homo sapiens	CREB1-human	6971221190	GRCh38
ENCFF320SCI	bam	alignments	ENCSR112ALD	ChIP-seq	Homo sapiens	CREB1-human	5360941704	GRCh38
ENCFF997DGT	bam	alignments	ENCSR194BBY	ChIP-seq	Homo sapiens	ZNF221-human	4285024514	GRCh38
ENCFF156ATQ	bam	alignments	ENCSR194BBY	ChIP-seq	Homo sapiens	ZNF221-human	6161935947	GRCh38
ENCFF761LNM	bam	alignments	ENCSR619IUE	ChIP-seq	Homo sapiens	CTCF-human	791308528	GRCh38
ENCFF302HOU	bam	alignments	ENCSR619IUE	ChIP-seq	Homo sapiens	CTCF-human	589904002	GRCh38
ENCFF908MXL	bam	alignments	ENCSR707QWA	ChIP-seq	Homo sapiens	NR2F6-human	870323233	GRCh38
ENCFF507UJN	bam	alignments	ENCSR707QWA	ChIP-seq	Homo sapiens	NR2F6-human	1552861162	GRCh38
ENCFF823GCX	bam	alignments	ENCSR000BLI	ChIP-seq	Homo sapiens	E2F6-human	310697982	GRCh38
ENCFF827SLL	bam	alignments	ENCSR000BLI	ChIP-seq	Homo sapiens	E2F6-human	457476245	GRCh38
ENCFF749LRJ	bam	alignments	ENCSR760UVO	ChIP-seq	Homo sapiens	KLF16-human	1257666090	GRCh38
ENCFF408TSG	bam	alignments	ENCSR760UVO	ChIP-seq	Homo sapiens	KLF16-human	1230585502	GRCh38
ENCFF299MHQ	bam	alignments	ENCSR793HZD	ChIP-seq	Homo sapiens	JUN-human	672120052	GRCh38
ENCFF642SDA	bam	alignments	ENCSR793HZD	ChIP-seq	Homo sapiens	JUN-human	706935216	GRCh38
ENCFF782XEN	bam	alignments	ENCSR009TKN	ChIP-seq	Homo sapiens	RCOR1-human	926648813	GRCh38
ENCFF341ZOE	bam	alignments	ENCSR009TKN	ChIP-seq	Homo sapiens	RCOR1-human	931325843	GRCh38
ENCFF633CMO	bam	alignments	ENCSR000EWF	ChIP-seq	Homo sapiens	YY1-human	293165137	GRCh38
ENCFF139WUV	bam	alignments	ENCSR000EWF	ChIP-seq	Homo sapiens	YY1-human	283706447	GRCh38
ENCFF774IBY	bam	alignments	ENCSR035OXA	ChIP-seq	Homo sapiens	CTCF-human	697663705	GRCh38
ENCFF713UMA	bam	alignments	ENCSR035OXA	ChIP-seq	Homo sapiens	CTCF-human	697983464	GRCh38
ENCFF810IXF	bam	alignments	ENCSR035OXA	ChIP-seq	Homo sapiens	CTCF-human	703826060	GRCh38
ENCFF491NLK	bam	alignments	ENCSR977HTH	ChIP-seq	Homo sapiens	ZNF18-human	3527847603	GRCh38
ENCFF206SEB	bam	alignments	ENCSR977HTH	ChIP-seq	Homo sapiens	ZNF18-human	3510985317	GRCh38
ENCFF703ZWI	bam	alignments	ENCSR972LYL	ChIP-seq	Homo sapiens	CTCF-human	3707748864	GRCh38
ENCFF809BGD	bam	alignments	ENCSR822PJT	ChIP-seq	Homo sapiens	CTCF-human	2983924444	GRCh38
ENCFF442WFR	bam	alignments	ENCSR449UFF	ChIP-seq	Homo sapiens	ZKSCAN1-human	3860159616	GRCh38
ENCFF023VUT	bam	alignments	ENCSR449UFF	ChIP-seq	Homo sapiens	ZKSCAN1-human	4863125242	GRCh38
ENCFF145VRC	bam	alignments	ENCSR092OVN	ChIP-seq	Homo sapiens	FOXA3-human	1424580326	GRCh38
ENCFF126DKX	bam	alignments	ENCSR092OVN	ChIP-seq	Homo sapiens	FOXA3-human	1912101768	GRCh38
ENCFF739ELO	bam	alignments	ENCSR449SEF	ChIP-seq	Homo sapiens	CTCF-human	2243582235	GRCh38
ENCFF545AXC	bam	alignments	ENCSR449SEF	ChIP-seq	Homo sapiens	CTCF-human	1472647001	GRCh38
ENCFF017BBF	bam	alignments	ENCSR000BQH	ChIP-seq	Homo sapiens	BCL3-human	908847027	GRCh38
ENCFF421BVL	bam	alignments	ENCSR000BQH	ChIP-seq	Homo sapiens	BCL3-human	1345029083	GRCh38
ENCFF951IVR	bam	alignments	ENCSR439OCL	ChIP-seq	Homo sapiens	ZNF407-human	3573709764	GRCh38
ENCFF410WYJ	bam	alignments	ENCSR439OCL	ChIP-seq	Homo sapiens	ZNF407-human	4424574638	GRCh38
ENCFF097UUE	bam	alignments	ENCSR357QJR	ChIP-seq	Homo sapiens	ZSCAN5A-human	4688893384	GRCh38
ENCFF155GFD	bam	alignments	ENCSR357QJR	ChIP-seq	Homo sapiens	ZSCAN5A-human	6343968688	GRCh38
ENCFF413FIJ	bam	alignments	ENCSR242EWU	ChIP-seq	Homo sapiens	FOSL2-human	596861638	GRCh38
ENCFF074RCI	bam	alignments	ENCSR242EWU	ChIP-seq	Homo sapiens	FOSL2-human	530485419	GRCh38
ENCFF116SDU	bam	alignments	ENCSR242EWU	ChIP-seq	Homo sapiens	FOSL2-human	642244474	GRCh38
ENCFF861MLP	bam	alignments	ENCSR445PDR	ChIP-seq	Homo sapiens	GFI1B-human	4960844143	GRCh38
ENCFF112YSB	bam	alignments	ENCSR445PDR	ChIP-seq	Homo sapiens	GFI1B-human	5052306670	GRCh38
ENCFF888DOH	bam	alignments	ENCSR919CZU	ChIP-seq	Homo sapiens	EGR2-human	2062638700	GRCh38
ENCFF234ALA	bam	alignments	ENCSR919CZU	ChIP-seq	Homo sapiens	EGR2-human	1770694717	GRCh38
ENCFF925IGQ	bam	alignments	ENCSR274WRI	ChIP-seq	Homo sapiens	FOSL2-human	646029292	GRCh38
ENCFF725EYQ	bam	alignments	ENCSR274WRI	ChIP-seq	Homo sapiens	FOSL2-human	564075685	GRCh38
ENCFF922TRS	bam	alignments	ENCSR274WRI	ChIP-seq	Homo sapiens	FOSL2-human	724507729	GRCh38
ENCFF118MNA	bam	alignments	ENCSR690HWX	ChIP-seq	Homo sapiens	HES2-human	641021777	GRCh38
ENCFF418CAP	bam	alignments	ENCSR690HWX	ChIP-seq	Homo sapiens	HES2-human	697612710	GRCh38
ENCFF414AQN	bam	alignments	ENCSR289NSN	ChIP-seq	Homo sapiens	ZNF354C-human	3799688743	GRCh38
ENCFF193NZD	bam	alignments	ENCSR289NSN	ChIP-seq	Homo sapiens	ZNF354C-human	3005285800	GRCh38
ENCFF187CYO	bam	alignments	ENCSR418NZA	ChIP-seq	Homo sapiens	ZNF524-human	3961579676	GRCh38
ENCFF163EWS	bam	alignments	ENCSR418NZA	ChIP-seq	Homo sapiens	ZNF524-human	4912000811	GRCh38
ENCFF151NRC	bam	alignments	ENCSR638QYO	ChIP-seq	Homo sapiens	SREBF2-human	4863011266	GRCh38
ENCFF374OTD	bam	alignments	ENCSR638QYO	ChIP-seq	Homo sapiens	SREBF2-human	6631121817	GRCh38
ENCFF340NFD	bam	alignments	ENCSR019NPF	ChIP-seq	Homo sapiens	SP5-human	1079290340	GRCh38
ENCFF884YQM	bam	alignments	ENCSR019NPF	ChIP-seq	Homo sapiens	SP5-human	1259644167	GRCh38
ENCFF895OOM	bam	alignments	ENCSR269TNX	ChIP-seq	Homo sapiens	GABPA-human	787068594	GRCh38
ENCFF092EIK	bam	alignments	ENCSR269TNX	ChIP-seq	Homo sapiens	GABPA-human	1257875124	GRCh38
ENCFF618YRD	bam	alignments	ENCSR592KSP	ChIP-seq	Homo sapiens	ZFP64-human	3920442544	GRCh38
ENCFF833MIU	bam	alignments	ENCSR592KSP	ChIP-seq	Homo sapiens	ZFP64-human	4786848536	GRCh38
ENCFF070DUF	bam	alignments	ENCSR548DDS	ChIP-seq	Homo sapiens	CTCF-human	3890383056	GRCh38
ENCFF494QGK	bam	alignments	ENCSR332EYT	ChIP-seq	Homo sapiens	STAT1-human	4211711908	GRCh38
ENCFF735CSF	bam	alignments	ENCSR332EYT	ChIP-seq	Homo sapiens	STAT1-human	4605570442	GRCh38
ENCFF151ZPA	bam	alignments	ENCSR000DPB	ChIP-seq	Homo sapiens	STAT3-human	404783912	GRCh38
ENCFF943XYH	bam	alignments	ENCSR000DPB	ChIP-seq	Homo sapiens	STAT3-human	755100472	GRCh38
ENCFF753MGD	bam	alignments	ENCSR173CTF	ChIP-seq	Homo sapiens	ZNF580-human	966382220	GRCh38
ENCFF531SFF	bam	alignments	ENCSR173CTF	ChIP-seq	Homo sapiens	ZNF580-human	1399392666	GRCh38
ENCFF126ZGI	bam	alignments	ENCSR098YLE	ChIP-seq	Homo sapiens	PRDM1-human	6062743710	GRCh38
ENCFF822FAY	bam	alignments	ENCSR098YLE	ChIP-seq	Homo sapiens	PRDM1-human	7408315123	GRCh38
ENCFF737QWX	bam	alignments	ENCSR211PZO	ChIP-seq	Homo sapiens	GLI4-human	5154502247	GRCh38
ENCFF829UMN	bam	alignments	ENCSR211PZO	ChIP-seq	Homo sapiens	GLI4-human	4408164762	GRCh38
ENCFF633OXE	bam	alignments	ENCSR000DXW	ChIP-seq	Homo sapiens	CTCF-human	463125741	GRCh38
ENCFF925VPT	bam	alignments	ENCSR000DXW	ChIP-seq	Homo sapiens	CTCF-human	564498857	GRCh38
